Place,Parent,MapSheet,UF,BT
Gove map area,East Arnhem Land NT,D5304,,Arnhem Land (NT)
Bawaka,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Buckingham Bay,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Bukudal,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Caledon Bay,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Cape Arnhem / Nanydjaka,East Arnhem Land,D5304,"Arnhem, Cape",Gove map area (East Arnhem Land NT SD53-04)
Dalywoi Bay,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Dhupuma,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Donydji,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Galupa,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Garalangawuy,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Gurrumuru,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Melville Bay,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Munumbal,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Nhulunbuy / Gove,East Arnhem Land NT,D5304,Gove,Gove map area (East Arnhem Land NT SD53-04)
Port Bradshaw,East Arnhem Land,D5304,"Bradshaw, Port",Gove map area (East Arnhem Land NT SD53-04)
Rathiya,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Trial Bay,East Arnhem Land NT,D5308,,Gove map area (East Arnhem Land NT SD53-04)
Yalangbara,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Yangunbi,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Yirrkala,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Yuduyudu,East Arnhem Land,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Mount Evelyn map area,Arnhem Land NT,D5305,,Arnhem Land (NT)
Fanny Creek,Arnhem Land NT ,D5305,,Mount Evelyn map area (Arnhem Land NT SD53-05)
Fanny Creek,Arnhem Land NT ,D5309,,Mount Evelyn map area (Arnhem Land NT SD53-05)
Mount Gilruth,Arnhem Land NT,D5305,"Gilruth, Mount",Mount Evelyn map area (Arnhem Land NT SD53-05)
Mount Marumba map area,Arnhem Land NT,D5306,,Arnhem Land (NT)
Bokolo,Arnhem Land NT,D5306,,Mount Marumba map area (Arnhem Land NT SD53-06)
Bolinbim,Arnhem Land NT,D5306,,Mount Marumba map area (Arnhem Land NT SD53-06)
Djimdjimrauk,Arnhem Land NT,D5306,,Mount Marumba map area (Arnhem Land NT SD53-06)
Goindjimbi / Bulman,Arnhem Land NT,D5306,Bulman,Mount Marumba map area (Arnhem Land NT SD53-06)
Malyanganuk / Malyanganak,Arnhem Land NT,D5306,Malyanganak,Mount Marumba map area (Arnhem Land NT SD53-06)
Weemol,Arnhem Land NT,D5306,,Mount Marumba map area (Arnhem Land NT SD53-06)
Wilton River,Arnhem Land NT ,D5306,,Mount Marumba map area (Arnhem Land NT SD53-06)
Wilton River,Arnhem Land NT ,D5310,,Mount Marumba map area (Arnhem Land NT SD53-06)
Yaimani,Arnhem Land NT,D5306,,Mount Marumba map area (Arnhem Land NT SD53-06)
Blue Mud Bay map area,East Arnhem Land NT,D5307,,Arnhem Land (NT)
Angurrgi,East Arnhem Land,D5307,,Blue Mud Bay map area (East Arnhem Land NT SD53-07)
Baniyala / Yilpara,East Arnhem Land,D5307,Yilpara,Blue Mud Bay map area (East Arnhem Land NT SD53-07)
Milyakburra / Bickerton Island,NT Gulf Islands,D5307,Bickerton Island,Blue Mud Bay map area (East Arnhem Land NT SD53-07)
Blue Mud Bay,East Arnhem Land,D5307,,Blue Mud Bay map area (East Arnhem Land NT SD53-07)
Cape Barrow,East Arnhem Land,D5307,"Barrow, Cape",Blue Mud Bay map area (East Arnhem Land NT SD53-07)
Connexion Island,NT Gulf Islands,D5307,,"Gulf islands (SD53, SE54)"
Gangan,East Arnhem Land,D5307,,Blue Mud Bay map area (East Arnhem Land NT SD53-07)
Waldar,East Arnhem Land,D5307,,Blue Mud Bay map area (East Arnhem Land NT SD53-07)
Walker River,East Arnhem Land,D5307,,Blue Mud Bay map area (East Arnhem Land NT SD53-07)
Roper River map area,East Arnhem Land NT,D5311,,Arnhem Land (NT)
Marraya,East Arnhem Land,D5311,,Roper River map area (East Arnhem Land NT SD53-11)
Miwul,East Arnhem Land,D5311,,Roper River map area (East Arnhem Land NT SD53-11)
Numbulwar / Rose River,East Arnhem Land,D5311,Rose River,Roper River map area (East Arnhem Land NT SD53-11)
Umajbar,East Arnhem Land,D5311,,Roper River map area (East Arnhem Land NT SD53-11)
Wiyayi,East Arnhem Land,D5311,,Roper River map area (East Arnhem Land NT SD53-11)
Wuruynguyuna,East Arnhem Land,D5311,,Roper River map area (East Arnhem Land NT SD53-11)
Yibagalari / Bugaleri,East Arnhem Land,D5311,Bugaleri,Roper River map area (East Arnhem Land NT SD53-11)
Darwin map area,NT Top End,D5204,,Northern Territory Top End (NT)
Belyuen / Delissaville,Cox Peninsula NT Top End,D5204,Delissaville,Darwin map area (NT Top End SD52-04)
Berrimah,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Darwin,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Darwin River,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Dum-in-Mirrie Island,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Escape Cliffs / Palmerston,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Finniss River,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Hope Inlet,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Howard Springs,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Kahlin,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Kenbi / Cox Peninsula,NT Top End,D5204,Cox Peninsula,Darwin map area (NT Top End SD52-04)
Knuckeys Lagoon,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Kulaluk / Bagot,NT Top End,D5204,Bagot,Darwin map area (NT Top End SD52-04)
Madbil,Cox Peninsula NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Manton Dam,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Marrakai,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Mary River,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Myilly Point,Darwin NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Noonamah,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Palmerston,Darwin NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Point Stuart,NT Top End,D5204,"Stuart, Point",Darwin map area (NT Top End SD52-04)
Sampan Creek,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Tree Point,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Vernon Islands,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Wadyiginy / Wagait,NT Top End ,D5204,Wagait,Darwin map area (NT Top End SD52-04)
Wariuk / Humpty Doo,NT Top End,D5204,Humpty Doo,Darwin map area (NT Top End SD52-04)
Wildman River,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Woolner,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Cape Scott map area,NT Top End,D5207,,Northern Territory Top End (NT)
Anson Bay,NT Top End,D5207,,Cape Scott map area (NT Top End SD52-07)
Armatill / Hermit Hill,Daly River NT Top End,D5207,Hermit Hill,Cape Scott map area (NT Top End SD52-07)
Barada,Daly River NT Top End,D5207,,Cape Scott map area (NT Top End SD52-07)
Cape Ford,NT Top End,D5207,"Ford, Cape",Cape Scott map area (NT Top End SD52-07)
Dilke Range,NT Top End,D5207,,Cape Scott map area (NT Top End SD52-07)
Elizabeth Downs,Daly River NT Top End,D5207,,Cape Scott map area (NT Top End SD52-07)
Peron Island,NT Top End,D5207,,Cape Scott map area (NT Top End SD52-07)
Woodykupildja,Daly River NT Top End,D5207,,Cape Scott map area (NT Top End SD52-07)
Yarar,Daly River NT Top End,D5207,,Cape Scott map area (NT Top End SD52-07)
Pine Creek map area,NT Top End,D5208,,Northern Territory Top End (NT)
Adelaide River,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Adelaide Station,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Ban Ban Spring,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Batchelor,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Coomalie,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Daly River,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Fish River,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Hayes Creek,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Kybrook Farm,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Litchfield,Daly River NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Mount Bundey,NT Top End,D5208,"Bundey, Mount",Pine Creek map area (NT Top End SD52-08)
Mount Ringwood,NT Top End,D5208,"Ringwood, Mount",Pine Creek map area (NT Top End SD52-08)
Pine Creek,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Reynolds River,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Rum Jungle,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Tabletop Station,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Tipperary,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Woolianna,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Port Keats map area,NT Top End,D5211,,Northern Territory Top End (NT)
Hyland Bay,NT Top End ,D5207,,Port Keats map area (NT Top End SD52-11)
Hyland Bay,NT Top End ,D5211,,Port Keats map area (NT Top End SD52-11)
Kimul,Fitzmaurice River NT Top End,D5211,,Port Keats map area (NT Top End SD52-11)
Kirindjingin,Fitzmaurice River NT Top End,D5211,,Port Keats map area (NT Top End SD52-11)
Madjellindi Valley,Fitzmaurice River NT Top End,D5211,,Port Keats map area (NT Top End SD52-11)
Moyle River,Daly River NT Top End,D5211,,Port Keats map area (NT Top End SD52-11)
Ngude / Providence Hill,Daly River NT Top End,D5211,Providence Hill,Port Keats map area (NT Top End SD52-11)
Paiynimbi,Fitzmaurice River NT Top End,D5211,,Port Keats map area (NT Top End SD52-11)
Palumpa,Daly River NT Top End,D5211,,Port Keats map area (NT Top End SD52-11)
Peppimenarti,Daly River NT Top End,D5211,,Port Keats map area (NT Top End SD52-11)
Purmi,Fitzmaurice River NT Top End,D5211,,Port Keats map area (NT Top End SD52-11)
Wadeye / Port Keats,Daly River NT Top End,D5211,Port Keats,Port Keats map area (NT Top End SD52-11)
Yarrah,Daly River NT Top End,D5211,,Port Keats map area (NT Top End SD52-11)
Fergusson River map area,NT Top End,D5212,,Northern Territory Top End (NT)
Claravale,NT Top End,D5212,,Fergusson River map area (NT Top End SD52-12)
Dorisvale,NT Top End,D5212,,Fergusson River map area (NT Top End SD52-12)
Fergusson River,NT Top End,D5212,,Fergusson River map area (NT Top End SD52-12)
Florina,NT Top End,D5212,,Fergusson River map area (NT Top End SD52-12)
Jindare,NT Top End,D5212,,Fergusson River map area (NT Top End SD52-12)
Laurie Creek,NT Top End,D5212,,Fergusson River map area (NT Top End SD52-12)
Oolloo,NT Top End,D5212,,Fergusson River map area (NT Top End SD52-12)
Springvale,NT Top End,D5212,,Fergusson River map area (NT Top End SD52-12)
Katherine map area,NT Top End,D5309,,Northern Territory Top End (NT)
Barunga / Bamyili,NT Top End Upper Roper,D5309,Bamyili,Wugularr / Beswick (NT Top End Upper Roper SD53-09)
Wugularr / Beswick,NT Top End Upper Roper,D5309,Beswick,Katherine map area (NT Top End SD53-09)
Djilkminggan / Elsey,NT Upper Roper ,D5309,Elsey;Jilkmingan,Katherine map area (NT Top End SD53-09)
Djilkminggan / Elsey,NT Upper Roper ,D5313,Elsey;Jilkmingan,Katherine map area (NT Top End SD53-09)
Edith River,NT Top End,D5309,,Katherine map area (NT Top End SD53-09)
Manyallaluk / Eva Valley,NT Top End,D5309,Eva Valley,Katherine map area (NT Top End SD53-09)
Jemkere,NT Top End,D5309,,Katherine map area (NT Top End SD53-09)
Katherine,NT Top End,D5309,,Katherine map area (NT Top End SD53-09)
Katherine River,NT Top End ,D5305,,Katherine map area (NT Top End SD53-09)
Katherine River,NT Top End ,D5309,,Katherine map area (NT Top End SD53-09)
Kintore Caves,NT Top End,D5309,,Katherine map area (NT Top End SD53-09)
Manbulloo,NT Top End,D5309,,Katherine map area (NT Top End SD53-09)
Maranboy,NT Top End Upper Roper,D5309,,Katherine map area (NT Top End SD53-09)
Mataranka,NT Top End Upper Roper,D5309,,Katherine map area (NT Top End SD53-09)
Maud Creek,NT Top End,D5309,,Katherine map area (NT Top End SD53-09)
Nitmiluk / Katherine Gorge,NT Top End,D5309,Katherine Gorge,Katherine map area (NT Top End SD53-09)
Urapunga map area,NT Top End Roper,D5310,,Northern Territory Top End (NT)
Castello,NT Top End Roper,D5310,,Urapunga map area (NT Top End Roper SD53-10)
Mainoru,NT Top End Roper,D5310,,Urapunga map area (NT Top End Roper SD53-10)
Moroak,NT Top End,D5310,,Urapunga map area (NT Top End Roper SD53-10)
Mountain Valley,NT Top End,D5310,,Urapunga map area (NT Top End Roper SD53-10)
Ngukurr,NT Top End Roper,D5310,,Urapunga map area (NT Top End Roper SD53-10)
Roper Bar,NT Top End,D5310,,Urapunga map area (NT Top End Roper SD53-10)
Roper River,NT Top End ,D5309,,Urapunga map area (NT Top End Roper SD53-10)
Roper River,NT Top End ,D5310,,Urapunga map area (NT Top End Roper SD53-10)
Roper River,NT Top End ,D5311,,Urapunga map area (NT Top End Roper SD53-10)
Urapunga,NT Top End Roper,D5310,,Urapunga map area (NT Top End Roper SD53-10)
Kakadu / Alligator Rivers area,NT ,D5301,,Northern Territory (NT)
Kakadu / Alligator Rivers area,NT ,D5305,,Northern Territory (NT)
Alligator Rivers,"Kakadu, NT ",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Alligator Rivers,"Kakadu, NT ",D5305,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
East Alligator River,"Kakadu, NT ",D5301,"Alligator River, East","Alligator Rivers (Kakadu, NT SD53-01, SD53-05)"
East Alligator River,"Kakadu, NT ",D5305,"Alligator River, East","Alligator Rivers (Kakadu, NT SD53-01, SD53-05)"
South Alligator River,"Kakadu, NT ",D5301,"Alligator River, South","Alligator Rivers (Kakadu, NT SD53-01, SD53-05)"
South Alligator River,"Kakadu, NT ",D5305,"Alligator River, South","Alligator Rivers (Kakadu, NT SD53-01, SD53-05)"
West Alligator River,"Kakadu, NT ",D5301,"Alligator River, West","Alligator Rivers (Kakadu, NT SD53-01, SD53-05)"
West Alligator River,"Kakadu, NT ",D5305,"Alligator River, West","Alligator Rivers (Kakadu, NT SD53-01, SD53-05)"
Badi Badi / Paribari / Padypadiy,"Kakadu, NT",D5301,Paribari;Padypadiy,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Cannon Hill,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Deaf Adder Creek / Gorge,"Kakadu, NT",D5305,Djuwarr;Balawuru,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Djaburluku / Jabiluka,"Kakadu, NT",D5301,Jabiluka,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Djalakurdulbi,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Djerlandjal,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
El Sherana,"Kakadu, NT",D5305,"Sherana, El","Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Gimbat,"Kakadu, NT",D5305,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Goodparla,"Kakadu, NT",D5305,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Guratba / Coronation Hill,"Kakadu, NT",D5305,Coronation Hill,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Jabiru / Ranger Uranium Mine,"Kakadu, NT",D5301,Ranger Uranium Mine,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Jim Jim Creek,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Kapalga,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Koongarra,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Magela Creek,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Malangangerr,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Malakunanja,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Mount Evelyn,"Kakadu, NT",D5305,"Evelyn, Mount","Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Mudginberri,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Munmarlary,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Nawamoyn,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Ngarradj Warde Djobkeng,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Nourlangie,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Anbangbang,"Nourlangie, Kakadu, NT",D5301,,"Nourlangie (Kakadu, NT SD53-01)"
Nawurlandja,"Nourlangie, Kakadu, NT",D5301,Nawulandja,"Nourlangie (Kakadu, NT SD53-01)"
Nanggalor,"Nourlangie, Kakadu, NT",D5301,,"Nourlangie (Kakadu, NT SD53-01)"
Mount Brockman,"Nourlangie, Kakadu, NT",D5301,"Brockman, Mount","Nourlangie (Kakadu, NT SD53-01)"
Patonga,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Sleisbeck,"Kakadu, NT",D5305,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Ubirr / Obiri,"Kakadu, NT",D5301,Obiri,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Yellow Waters,"Kakadu, NT",D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Auvergne map area,"Victoria River, North NT",D5215,,Northern Territory - North NT
Auvergne,"East Kimberley, North NT",D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
Bullo River,"East Kimberley, North NT",D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
East Kimberley area,North NT,D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
Keep River,"East Kimberley, North NT",D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
Legune,"East Kimberley, North NT",D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
Marralam,"East Kimberley, North NT",D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
Newcastle Range,"East Kimberley, North NT",D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
Pear Tree Creek,North NT Victoria River,D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
Pinkerton Range,"East Kimberley, North NT",D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
Retribution Creek,North NT Victoria River,D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
Spencer Range,"East Kimberley, North NT ",D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
Spencer Range,"East Kimberley, North NT ",D5301,,"Auvergne map area (Victoria River, North NT SD52-15)"
Spirit Hills,"East Kimberley, North NT",D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
Timber Creek,North NT Victoria River,D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
Delamere map area,North NT,D5216,,Northern Territory - North NT
Coolibah,North NT Victoria River,D5216,,Delamere map area (North NT SD52-16)
Delamere,North NT,D5216,,Delamere map area (North NT SD52-16)
Gregory Creek,North NT Victoria River,D5216,,Delamere map area (North NT SD52-16)
Gilwi,North NT,D5216,,Delamere map area (North NT SD52-16)
Iinji Valley,North NT,D5216,,Delamere map area (North NT SD52-16)
Ikymbon,North NT,D5216,,Delamere map area (North NT SD52-16)
Innesvale,North NT,D5216,,Delamere map area (North NT SD52-16)
Ingaladdi,"Willeroo, North NT",D5216,,Delamere map area (North NT SD52-16)
Jellicbung,North NT Victoria River,D5216,,Delamere map area (North NT SD52-16)
Mount Hogarth,North NT Victoria River,D5216,"Hogarth, Mount",Delamere map area (North NT SD52-16)
Willeroo,North NT,D5216,,Delamere map area (North NT SD52-16)
Wynbarra Waterhole,North NT,D5216,,Delamere map area (North NT SD52-16)
Larrimah map area,North NT,D5313,,Northern Territory - North NT
Birdum,North NT,D5313,,Larrimah map area (North NT SD53-13)
Birrimba,North NT,D5313,,Larrimah map area (North NT SD53-13)
Larrimah,North NT,D5313,,Larrimah map area (North NT SD53-13)
Hodgson Downs map area,North NT Roper,D5314,,Northern Territory - North NT
Alawa Ngandi / Cox River,North NT,D5314,Cox River,Hodgson Downs map area (North NT Roper SD53-14)
Arnold River,North NT ,D5314,,Hodgson Downs map area (North NT Roper SD53-14)
Arnold River,North NT ,E5302,,Hodgson Downs map area (North NT Roper SD53-14)
Dundundi,"Cox River, North NT",D5314,,Hodgson Downs map area (North NT Roper SD53-14)
Minyerri / Hodgson Downs,North NT Roper,D5314,Hodgson Downs,Hodgson Downs map area (North NT Roper SD53-14)
Hodgson River,North NT Roper,D5314,,Hodgson Downs map area (North NT Roper SD53-14)
Nutwood,North NT,D5314,,Hodgson Downs map area (North NT Roper SD53-14)
St Vidgeon,North NT Roper,D5314,,Hodgson Downs map area (North NT Roper SD53-14)
